DATE,TIME,DOY,ASY-D,ASY-H,SYM-D,SYM-H
11/01/2020,43:00.0,11,8,14,-1,-20
11/01/2020,44:00.0,11,8,14,-1,-20
11/01/2020,45:00.0,11,7,13,-1,-19
11/01/2020,46:00.0,11,8,14,-1,-19
11/01/2020,47:00.0,11,8,14,-1,-19
11/01/2020,48:00.0,11,8,14,-1,-20
11/01/2020,49:00.0,11,9,13,-1,-20
11/01/2020,50:00.0,11,9,13,-1,-20
11/01/2020,51:00.0,11,9,13,-1,-20
11/01/2020,52:00.0,11,9,13,-2,-20
11/01/2020,53:00.0,11,9,14,-1,-20
11/01/2020,54:00.0,11,8,14,-2,-20
11/01/2020,55:00.0,11,8,14,-2,-20
11/01/2020,56:00.0,11,8,14,-2,-20
11/01/2020,57:00.0,11,7,14,-1,-20
11/01/2020,58:00.0,11,7,14,-2,-20
11/01/2020,59:00.0,11,7,14,-2,-20
11/01/2020,00:00.0,11,7,14,-2,-20
11/01/2020,01:00.0,11,7,14,-2,-20
11/01/2020,02:00.0,11,7,13,-2,-20
11/01/2020,03:00.0,11,6,13,-2,-20
11/01/2020,04:00.0,11,6,13,-2,-20
11/01/2020,05:00.0,11,5,13,-2,-20
11/01/2020,06:00.0,11,6,13,-2,-20
11/01/2020,07:00.0,11,6,14,-2,-20
11/01/2020,08:00.0,11,7,14,-2,-20
11/01/2020,09:00.0,11,7,14,-1,-20
11/01/2020,10:00.0,11,8,14,-1,-20
11/01/2020,11:00.0,11,8,12,-1,-20
11/01/2020,12:00.0,11,8,12,-1,-20
